iter	MAE
0	221547.988
1	198187.0221
2	172038.2619
3	160612.7009
4	146187.9707
5	136561.4438
6	128666.9988
7	121217.026
8	116057.7901
9	111786.4199
10	106232.0431
11	103414.4633
12	102290.4679
13	100175.4055
14	98338.43863
15	97137.64064
16	93101.40606
17	90284.52419
18	88999.14494
19	85716.46102
20	85292.79231
21	83250.55828
22	82475.88114
23	81606.34721
24	79064.57632
25	78729.77368
26	77529.99244
27	76607.15996
28	76099.81285
29	70119.63182
30	68619.4844
31	67633.8233
32	66274.85981
33	65704.24716
34	61796.92331
35	61261.49735
36	58278.5908
37	57891.68882
38	57022.73146
39	54769.89207
40	54540.84627
41	53151.97356
42	52690.38082
43	51904.16188
44	51459.30693
45	49597.29119
46	48344.69919
47	47781.45508
48	46420.77181
49	46305.25556
50	46040.97284
51	44998.10903
52	44667.31167
53	44431.332
54	43618.66522
55	43524.71378
56	43326.2363
57	43242.24733
58	43152.65614
59	42728.08062
60	42439.3648
61	42206.65181
62	41450.96675
63	40617.52446
64	40553.70759
65	40483.19277
66	40009.82509
67	39879.66845
68	39719.47247
69	39547.76237
70	39228.6422
71	38628.62105
72	38557.38356
73	38490.25832
74	38163.33439
75	38136.56539
76	37861.859
77	37725.50753
78	37383.70296
79	36980.59107
80	36744.07274
